Method,App.,Material,Solid,μ,V,h₀,fᵣ,Temp.,w,tvaridity
D^{21},DSSC,TiO₂,10wt%,-,1,-,-,120-140,-,10 (wet)
DG^{22},**-**,**-**,992-1088 kg/m³,4-Jan,19.8-210,-,-,-,100,1-10 (dry)
MG^{31},TCF,PEDOT:PSS,-,1-1000,0.18,-,-,-,-,0.02 (dry)
K/SD^{34},Fuel cell,PBI,9wt%,-,0.2,400,-,140,250,40 (dry)
K^{37},OPV,ZnO,50 mg/ml,-,0.8,300,-,125-130,250,0.02 (dry)
SD^{35},PSA,PSA,20wt%,1800,10-Feb,100-400,10.65-53.74,120,150,4.5-5 (dry)
S^{35},SC,CNT,1 mg/ml,-,4 cm²/s,-,-,-,-,4 (dry)
SD^{36},TCF,**-**,2.12-8.68,2-Jan,30-50,9-Mar,110,250,1-26 (wet),
SD^{88},OPV,**-**,60 mg/ml,25,240,-,-,140,**-**,100 (wet)
K^{28},e-paper,TiO₂,-,-,9.14,-,-,179-192,**-**,12-40 (dry)
SD^{6},AR,Si,1.5-5,3.3,1.6-4.4,100,13-Feb,140,100,0.06-0.13 (dry)
''',,,,,,,,,,
K/MG^{33},Battery (Li),Carbon,-,-,0.25-10,25 (K),-,-,875-1185,2-200 (dry)
SD^{33},**-**,Ag,-,-,1.2-2.4,100,7-Feb,**-**,250,0.67-0.252 (dry)
